Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Democratic Republic of the Congo,Africa,58319,65.116,259,0.289,13,1107,1.236,3,0.003,0
Mauritius,Africa,56048,4407.093,14317,1125.756,14317,568,44.662,146,11.48,146
Guadeloupe,Americas,55080,13765.733,0,0,0,823,205.686,0,0,0
Fiji,Western Pacific,52532,5860.036,58,6.47,12,697,77.752,2,0.223,1
Suriname,Americas,50848,8667.785,267,45.514,25,1167,198.932,10,1.705,1
Syrian Arab Republic,Eastern Mediterranean,48267,275.801,709,4.051,97,2755,15.742,36,0.206,6
Eswatini,Africa,46753,4029.861,247,21.29,97,1248,107.571,0,0,0
French Polynesia,Western Pacific,46321,16489.74,697,248.124,2,636,226.409,0,0,0
French Guiana,Americas,46060,15421.083,297,99.437,46,328,109.816,3,1.004,1
Martinique,Americas,45348,12084.26,417,111.121,0,715,190.532,8,2.132,0
Madagascar,Africa,44330,160.088,258,0.932,0,967,3.492,0,0,0
Sudan,Eastern Mediterranean,43385,98.941,743,1.694,156,3164,7.216,23,0.052,5
Malta,Europe,39532,7682.621,602,116.992,95,468,90.951,4,0.777,0
Mauritania,Africa,39339,846.062,458,9.85,73,835,17.958,13,0.28,3
Cabo Verde,Africa,38393,6905.377,48,8.633,23,350,62.951,1,0.18,0
Guyana,Americas,37874,4815.193,429,54.542,49,994,126.374,15,1.907,2
Gabon,Africa,37342,1677.739,119,5.347,0,279,12.535,3,0.135,0
Papua New Guinea,Western Pacific,35237,393.84,391,4.37,0,546,6.103,4,0.045,0
Guinea,Africa,30770,234.299,19,0.145,0,387,2.947,0,0,0
Belize,Americas,30431,7653.133,570,143.35,93,578,145.362,12,3.018,4
Togo,Africa,26273,317.356,49,0.592,8,243,2.935,0,0,0
United Republic of Tanzania,Africa,26270,43.978,9,0.015,0,730,1.222,0,0,0
Haiti,Americas,25351,222.328,312,2.736,55,746,6.542,17,0.149,8
Barbados,Americas,25316,8809.395,1082,376.512,164,229,79.687,16,5.568,0
Benin,Africa,24863,205.086,13,0.107,0,161,1.328,0,0,0
Seychelles,Africa,23537,23932.606,340,345.715,55,122,124.051,0,0,0
Somalia,Eastern Mediterranean,23016,144.816,47,0.296,0,1327,8.349,3,0.019,0
Bahamas,Americas,22802,5798.436,106,26.955,11,677,172.158,6,1.526,6
Lesotho,Africa,21807,1017.949,72,3.361,28,663,30.949,1,0.047,1
Mayotte,Africa,20973,7687.627,59,21.626,0,185,67.812,0,0,0
Burundi,Africa,20439,171.889,79,0.664,7,14,0.118,0,0,0
Timor-Leste,South-East Asia,19825,1503.665,5,0.379,0,122,9.253,0,0,0
Congo,Africa,18970,343.779,133,2.41,0,354,6.415,5,0.091,0
Iceland,Europe,18198,4997.611,906,248.81,143,35,9.612,0,0,0
Mali,Africa,17501,86.421,404,1.995,66,610,3.012,9,0.044,4
Tajikistan,Europe,17493,183.41,0,0,0,125,1.311,0,0,0
Andorra,Europe,17426,22553.549,1000,1294.247,241,131,169.546,0,0,0
Curaçao,Americas,17414,10612.275,66,40.221,13,179,109.084,1,0.609,1
Aruba,Americas,16354,15317.61,124,116.142,19,174,162.973,1,0.937,0
Burkina Faso,Africa,16000,76.543,486,2.325,0,286,1.368,21,0.1,0
Guam,Western Pacific,15132,8965.783,30,17.775,0,263,155.829,0,0,0
Brunei Darussalam,Western Pacific,15111,3454.109,340,77.718,18,57,13.029,0,0,0
Jersey,Europe,14239,13209.21,861,798.731,134,81,75.142,1,0.928,0
Equatorial Guinea,Africa,13592,968.792,45,3.207,0,175,12.473,5,0.356,0
Djibouti,Eastern Mediterranean,13504,1366.802,1,0.101,0,186,18.826,0,0,0
Nicaragua,Americas,13397,202.232,67,1.011,0,213,3.215,1,0.015,0
Saint Lucia,Americas,13000,7079.569,79,43.022,11,280,152.483,1,0.545,0
South Sudan,Africa,12777,114.144,67,0.599,0,133,1.188,0,0,0
New Caledonia,Western Pacific,12321,4315.617,329,115.237,26,276,96.673,0,0,0
Central African Republic,Africa,11742,243.117,34,0.704,34,101,2.091,0,0,0
New Zealand,Western Pacific,11525,238.997,1104,22.894,174,44,0.912,3,0.062,0
Isle of Man,Europe,11487,13509.032,690,811.459,147,66,77.618,0,0,0
Yemen,Eastern Mediterranean,10006,33.548,34,0.114,2,1950,6.538,8,0.027,0
Gambia,Africa,9992,413.462,3,0.124,3,342,14.152,0,0,0
United States Virgin Islands,Americas,7511,7192.722,31,29.686,0,86,82.356,1,0.958,0
Eritrea,Africa,7393,208.464,143,4.032,52,60,1.692,3,0.085,0
Gibraltar,Europe,7281,21611.113,232,688.611,33,98,290.879,0,0,0
Cayman Islands,Americas,7235,11008.825,952,1448.57,161,5,7.608,1,1.522,0
Niger,Africa,7007,28.947,105,0.434,0,259,1.07,11,0.045,0
Guinea-Bissau,Africa,6442,327.337,4,0.203,2,148,7.52,2,0.102,0
Sierra Leone,Africa,6402,80.256,2,0.025,0,121,1.517,0,0,0
San Marino,Europe,6118,18026.99,209,615.829,34,93,274.029,0,0,0
Grenada,Americas,5897,5240.706,19,16.885,3,200,177.741,0,0,0
Liberia,Africa,5823,115.132,4,0.079,0,287,5.675,0,0,0
Dominica,Americas,5776,8023.225,134,186.134,0,37,51.395,2,2.778,0
Bermuda,Americas,5748,9230.325,24,38.54,0,106,170.218,0,0,0
Chad,Africa,5703,34.72,596,3.628,596,181,1.102,6,0.037,6
Saint Vincent and the Grenadines,Americas,5562,5013.521,116,104.561,37,74,66.703,0,0,0
Liechtenstein,Europe,4809,12411.283,262,676.181,1,58,149.689,0,0,0
Sint Maarten,Americas,4588,10699.128,23,53.636,4,75,174.899,0,0,0
Comoros,Africa,4508,518.399,42,4.83,0,150,17.249,0,0,0
Guernsey,Europe,4162,6455.916,719,1115.282,85,23,35.677,0,0,0
Antigua and Barbuda,Americas,4141,4228.574,3,3.063,0,117,119.474,0,0,0
Saint Martin,Americas,4031,10427.067,18,46.561,0,38,98.295,0,0,0
Monaco,Europe,3797,9675.364,155,394.965,30,36,91.734,0,0,0
Sao Tome and Principe,Africa,3731,1702.417,0,0,0,56,25.552,0,0,0
Faroe Islands,Europe,3688,7547.324,351,718.306,62,13,26.604,0,0,0
Turks and Caicos Islands,Americas,3096,7996.281,8,20.662,0,24,61.987,1,2.583,0
Bonaire,Americas,2896,13846.522,173,827.158,33,22,105.188,1,4.781,0
British Virgin Islands,Americas,2809,9289.943,36,119.059,0,38,125.674,0,0,0
Saint Kitts and Nevis,Americas,2786,5237.63,12,22.56,4,28,52.639,0,0,0
Bhutan,South-East Asia,2640,342.143,7,0.907,0,3,0.389,0,0,0
Saint Barthélemy,Americas,1672,16914.517,6,60.698,0,4,40.465,0,0,0
Greenland,Europe,1456,2564.645,145,255.408,0,0,0,0,0,0
Anguilla,Americas,1386,9238.768,52,346.62,0,3,19.997,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,958,1664.437,354,615.042,103,3,5.212,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Saint Pierre and Miquelon,Americas,85,1466.782,26,448.663,1,0,0,0,0,0
Falkland Islands (Malvinas),Americas,79,2268.16,0,0,0,0,0,0,0,0
Montserrat,Americas,44,880.176,0,0,0,1,20.004,0,0,0
Sint Eustatius,Americas,31,987.576,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.912,0,0,0,0,0,0,0,0
Saba,Americas,12,620.797,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,10,18.117,5,9.058,0,0,0,0,0,0
Palau,Western Pacific,8,44.218,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,5,1.628,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.504,0,0,0,0,0,0,0,0
Tonga,Western Pacific,1,0.946,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
